title	authors	year	volume	issue	pages	abstract	pubmed	lab	people	tags	url
Transforming fusions of FGFR and TACC genes in human glioblastoma	Singh D;Chan JM;Zoppoli P;Niola F;Sullivan R;Castano A;Liu EM;Reichel J;Porrati P;Pellegatta S;Qiu K;Gao Z;Ceccarelli M;Riccardi R;Brat DJ;Guha A;Aldape K;Golfinos JG;Zagzag D;Mikkelsen T;Finocchiaro G;Lasorella A;Rabadan R;Iavarone A	2012						antonio-iavarone	antonio-iavarone	Article	
Id proteins synchronize stemness and anchorage to the niche of neural stem cells	Niola F;Zhao X;Singh D;Castano A;Sullivan R;Lauria M;Nam HS;Zhuang Y;Benezra R;Di Bernardo;Iavarone A;Lasorella A	2012						antonio-iavarone	antonio-iavarone	Article	
Self‐renewal does not predict tumor growth potential in mouse models of high‐grade glioma	Barrett LE;Granot Z;Coker C;Iavarone A;Hambardzumyan D;Holland EC;Nam HS;Benezra R	2012						antonio-iavarone	antonio-iavarone	Article	
E protein transcription factors are required for the development of CD4(+) lineage T cells	Jones‐Mason ME;Zhao X;Kappes D;Lasorella A;Iavarone A;Zhuang Y	2012						antonio-iavarone	antonio-iavarone	Article	
Id2 promotes tumor cell migration and invasion through transcriptional repression of Semaphorin 3F	Coma S;Amin DN;Shimizu A;Lasorella A;Iavarone A;Klagsbrun M	2010	70	9	3823-32			antonio-iavarone	antonio-iavarone	Article	
The Huwe1 ubiquitin ligase is essential to synchronize neuronal and glial differentiation in the developing cerebellum	D'Arca D;Zhao X;Xu W;Ramirez‐Martinez N;Iavarone A;Lasorella A	2010						antonio-iavarone	antonio-iavarone	Article	
L, Doetsch F, Colman H, Lasorella A, Aldape K, Califano A, Iavarone A	Carro MS;Lim WK;Alvarez MJ;Bollo RJ;Zhao X;Snyder EY;Sulman EP;Anne S	2010						antonio-iavarone	antonio-iavarone	Article	
S, Ludwig T, Guillemot F, Aldape K, Califano A, Iavarone A, and Lasorella A	Zhao X;D'Arca D;Lim WK;Brahmachary M;Carro M	2009						antonio-iavarone	antonio-iavarone	Article	
The HECT‐domain ubiquitin ligase Huwe1 controls neural differentiation and proliferation by destabilizing the N‐Myc oncoprotein	Zhao X;Heng J;Guardavaccaro D;Jiang R;Pagano M;Guillemot F;Iavarone A;Lasorella A	2008						antonio-iavarone	antonio-iavarone	Article	
Control of chromosome stability by the beta‐TrCP‐REST‐Mad2 axis	Guardavaccaro D;Frescas D;Dorrello NV;Peschiaroli A;Multani AS;Cardozo T;Lasorella A;Iavarone A;Chang S;Hernando E;Pagano M	2008						antonio-iavarone	antonio-iavarone	Article	
Degradation of Id2 by the Anaphase Promoting Complex couples cell cycle exit and axonal growth	Lasorella A;Stegmüller J;Guardavaccaro D;Liu G;Carro MS;Rothschild G;de la;Pagano M;Bonni A;Iavarone A	2006						antonio-iavarone	antonio-iavarone	Article	
E proteins and Id2 converge on p57Kip2 to regulate cell cycle in neural cells	Rothschild G;Zhao X;Iavarone A;Lasorella A	2006						antonio-iavarone	antonio-iavarone	Article	
Id2 mediates tumor initiation, proliferation and angiogenesis in Rb mutant mice	Lasorella A;Rothschild G;Yokota Y;Russell RG;Iavarone A	2005						antonio-iavarone	antonio-iavarone	Article	
Id family of helix‐loop‐helix proteins in cancer	Perk J;Iavarone A;Benezra R	2005						antonio-iavarone	antonio-iavarone	Article	
Retinoblastoma promotes definitive erythropoiesis by repressing Id2 in fetal liver macrophages	Iavarone A;King ER;Xu‐Ming Dai;Leone G;Stanley ER;Lasorella A	2004	432		1040-1045			antonio-iavarone	antonio-iavarone	Article	
Id2 drives differentiation and suppresses tumor formation in the intestinal epithelium	Russell RG;Lasorella A;Dettin LE;Iavarone A	2005						antonio-iavarone	antonio-iavarone	Article	
Id2 is a target of the retinoblastoma protein and mediates signalling by Myc oncoproteins	Lasorella A;Noseda M;Beyna M;Iavarone A	2000						antonio-iavarone	antonio-iavarone	Article	
eIF4A-dependent translational control of central carbon metabolism in pancreatic ductal adenocarcinoma	Chan KM;Robert F;Oertlin C;Kapeller-Libermann D;Avizonis D;Park J;Schoepfer C;Da Silva;Yao M;Gorton F;Thomas C;Brown L;Porco J;Doubrovin M;Pollak M;Larsson O;Pelletier J;Chio II	2019						christine-chio	christine-chio	Article	
Metastasis in Pancreatic Cancer: advances in the field and methodologies	Ayres Pereira;Chio II	-1						christine-chio	christine-chio	Article;In Press	
ROS in Cancer: The Burning Question	Chio II;Tuveson DA	2017	23	5	411-429			christine-chio	christine-chio	Article	
ROS in translation: chink in the armor	Chio II;Tuveson DA	2016						christine-chio	christine-chio	Article	
NRF2 Promotes Tumor Maintenance by Modulating mRNA Translation in Pancreatic Cancer	Chio II;Jafarnejad SM;Ponz-Sarvise M;Park Y;Rivera K;Palm W;Wilson J;Sangar V;Hao Y;Ohlund D;Wright K;Filippini D;Lee EJ;Da Silva;Schoepfer C;Wilkinson JE;Buscaglia JM;DeNicola GM;Tiriac H;Hammell M;Crawford HC;Schmidt EE;Thompson CB;Pappin DJ;Sonenberg N;Tuveson DA	2016	166	4	963-76			christine-chio	christine-chio	Article	
MAX-ing out MYC: a novel small molecule inhibitor against MYC-dependent tumors	Chio II;Yordanov G;Tuveson D	2014						christine-chio	christine-chio	Article	
TRADD contributes to tumour suppression by regulating ULF-dependent p19Arf ubiquitylation	Chio II;Sasaki M;Ghazarian D;Moreno J;Done S;Ueda T;Inoue S;Chang YL;Chen NJ;Mak TW	2012	14	6	625-33			christine-chio	christine-chio	Article	
Identification of resistance pathways specific to malignancy using organoid models of pancreatic cancer	Ponz-Sarvise M;Corbo V;Tiriac H;Engle D;Freze K;Oni T;Hwang C;Ohlund D;Chio II;Baker L;Filippini D;Wright K;Barpiro T;Huang P;Smith P;Yu K;Jodrell D;Park Y;Tuveson D	2019						christine-chio	christine-chio	Article	
Bioactivationof napabucasintriggersreactive oxygen species-mediated killing of cancer cells	Froeling F;Chio II,Li;Rogoff H;Tuveson D;Watson J	2019						christine-chio	christine-chio	Article	
Tuveson DA	Tonelli C;Chio II,	2018						christine-chio	christine-chio	Article	
Selective targeting of the Warburge ffect and precision medicine from metabolic control analysis	Liberti MV;Dai Z;Wardell S;Baccile J;Liu XJ;Gao X;Baldi R;Mehrmohamadi M;Johnson MO;Madhukar NS;Shestov AA;Chio II;Tuveson D;Elemento O;Rathmell JC;Schroeder FC;McDonnell D;Locasale J	2017						christine-chio	christine-chio	Article	
Distinct populations of inflammatory fibroblasts and myofibroblasts in pancreatic cancer	Ohlund D;Handly-Santana A;Biffi G;Elyada E;Aameida A;Ponz-Sarvise M;Corbo V;Oni T;Hearn S;Lee EJ;Chio II;Hwang CI;Tiriac H;Baker L;Engle D;Egeblad M;Fearon D;Crawford J;Clevers H;Park Y;Tuveson D	2017						christine-chio	christine-chio	Article	
Mule Regulates the Intestinal Stem Cell Niche via the Wnt Pathway and Targets EphB3 for Proteasomal and Lysosomal Degradation	Dominguez-Brauer C;Hao Z;Elia AJ;Fortin JM;Nechanitzky R;Brauer PM;Sheng Y;Mana MD;Chio II;Haight J;Pollett A;Cairns R;Tworzyanski L;Inoue S;Reardon C;Marques A;Silvester J;Cox MA;Wakeham A;Yilmaz OH;Sabatini DM;van Es;Clevers H;Sato T;Mak TW	2016	19	2	205-16			christine-chio	christine-chio	Article	
Vitamin C selectively kills KRAS and BRAF mutant colorectal cancer cells by targeting GAPDH	Yun J;Mullarky E;Lu C;Bosch KN;Kavalier A;Rivera K;Roper J;Chio II;Giannopoulou EG;Rago C;Muley A;Asara JM;Paik J;Elemento O;Chen Z;Pappin DJ;Dow LE;Papadopoulos N;Gross SS;Cantley LC	2015	350	6266	1391-6			christine-chio	christine-chio	Article	
Idh1 protects murine hepatocytes from endotoxin-induced oxidative stress by regulating the intracellular NADP(+)/NADPH ratio	Itsumi M;Inoue S;Elia AJ;Murakami K;Sasaki M;Lind EF;Brenner D;Harris IS;Chio II;Afzal S;Cairns RA;Cescon DW;Elford AR;Ye J;Lang PA;Li WY;Wakeham A;Duncan GS;Haight J;You-Ten A;Snow B;Yamamoto K;Ohashi PS;Mak TW	2015	22	11	1837-45			christine-chio	christine-chio	Article	
p53 mutations change phosphatidylinositol acyl chain composition	Naguib A;Bencze G;Engle DD;Chio II;Herzka T;Watrud K;Bencze S;Tuveson DA;Pappin DJ;Trotman LC	2015	10	1	8-19			christine-chio	christine-chio	Article	
A novel TLR2-triggered signalling crosstalk synergistically intensifies TNF-mediated IL-6 induction	Chang YL;Chen TH;Wu YH;Chen GA;Weng TH;Tseng PH;Hsieh SL;Fu SL;Lin CH;Chen CJ;Chu CL;Chio II;Mak TW;Chen NJ	2014	18	7	1344-57			christine-chio	christine-chio	Article	
Mule/Huwe1/Arf-BP1 suppresses Ras-driven tumorigenesis by preventing c-Myc/Miz1-mediated down-regulation of p21 and p15	Inoue S;Hao Z;Elia AJ;Cescon D;Zhou L;Silvester J;Snow B;Harris IS;Sasaki M;Li WY;Itsumi M;Yamamoto K;Ueda T;Dominguez-Brauer C;Gorrini C;Chio II;Haight J;You-Ten A;McCracken S;Wakeham A;Ghazarian D;Penn LJ;Melino G;Mak TW	2013	27	10	1101-14			christine-chio	christine-chio	Article	
Flotillin-2 deficiency leads to reduced lung metastases in a mouse breast cancer model	Berger T;Ueda T;Arpaia E;Chio II;Shirdel EA;Jurisica I;Hamada K;You-Ten A;Haight J;Wakeham A;Cheung CC;Mak TW	2013	32	41	4989-94			christine-chio	christine-chio	Article	
D-2-hydroxyglutarate produced by mutant IDH1 perturbs collagen maturation and basement membrane function	Sasaki M;Knobbe CB;Itsumi M;Elia AJ;Harris IS;Chio II;Cairns RA;McCracken S;Wakeham A;Haight J;Ten AY;Snow B;Ueda T;Inoue S;Yamamoto K;Ko M;Rao A;Yen KE;Su SM;Mak TW	2012	26	18	2038-49			christine-chio	christine-chio	Article	
Chen NJ, Brustle A, Li WY, Mak TW	Lin WJ;Su YW;Lu YC;Hao Z;Chio II,	2011						christine-chio	christine-chio	Article	
Combined deficiency for MAP kinase-interacting kinase 1 and 2 (Mnk1 and Mnk2) delays tumor development	Ueda T;Sasaki M;Elia AJ;Chio II;Hamada K;Fukunaga R;Mak TW	2010	107	32	13984-90			christine-chio	christine-chio	Article	
Reconstitution of an ATM-dependent checkpoint that inhibits chromosomal DNA replication following DNA damage	Costanzo V;Robertson R;Ying C;Kim K;Avvedimento E;Gottesman M;Grieco D;Gautier J	2000						jean-gautier	jean-gautier	Article	
	Costanzo V;Robertson K;Bibikova M;Kim E;Grieco D;Gottesman M;Carroll D;Gautier J	2001						jean-gautier	jean-gautier	Article	
An ATR- and Cdc7-dependent checkpoint that inhibits initiation of DNA replication	Costanzo V;Shechter D;Lupardus PJ;Cimprich KA;Gottesman M;Gautier J	2003						jean-gautier	jean-gautier	Article	
and Gautier J	Shechter D;Costanzo V	2004						jean-gautier	jean-gautier	Article	
and Gautier J	Ying C	2005						jean-gautier	jean-gautier	Article	
Two-step activation of ATM by DNA and the Mre11-Rad50-Nbs1 complex	Dupre A;Boyer-Chatenet L;Gautier J	2006						jean-gautier	jean-gautier	Article	
Non-transcriptional control of DNA replication by c-Myc	Dominguez-Sola D;Ying C;Grandori C;Ruggiero L;Chen B;Galloway D;Gu W;Gautier J;Dalla-favera R	2007	448		445-451			jean-gautier	jean-gautier	Article	
	Dupre A;Boyer-Chatenet L;Sattler RM;Modi A;Lee JH;Nicolette M;Kopelovich L;Jasin M;Baer R;Paull T;Gautier J	2008						jean-gautier	jean-gautier	Article	
Evolutionary conserved single stranded DNA binding protein ‘hSSB1' is critical for genomic stability	Richard D;Bolderson E;Cubeddu L;Wadsworth R;Savage K;Sharma G;Nicolette M;Tsvetanov S;McIlwraith M;Pandita R;Takeda T;Hay R;Gautier J;West S;Paull T;Pandita T;White M;Khanna KK	2008	453		677-681			jean-gautier	jean-gautier	Article	
Checkpoint signaling from a single DNA interstrand crosslink	Ben-Yehoyada M;Wang LC;Kozekov I;Rizzo C;Gottesman M;Gautier J	2009	35		704-715			jean-gautier	jean-gautier	Article	
	Wang LC;Gautier J	2010						jean-gautier	jean-gautier	Article	
and Gautier J	Symington L	2011						jean-gautier	jean-gautier	Article	
Cdk1 uncouples CtIP-dependent resection and Rad51 filament formation during M-phase double-strand break repair	Peterson S;Li Y;Chait B;Baer R;Gottesman M;Gautier J	2011	194		705-720			jean-gautier	jean-gautier	Article	
	Williams H;Gottesman ME;Gautier J	2012						jean-gautier	jean-gautier	Article;In Press	
More Tasks for Dna2 in S-phase	Aparicio T;Gautier J	2012	11		4299-300			jean-gautier	jean-gautier	Article	
The MRN-CtIP pathway is required for metaphase chromosome alignment	Rozier L;Guo Y;Peterson S;Sato M;Baer R;Gautier J;Mao Y	2013	49		1097-107			jean-gautier	jean-gautier	Article	
Cdc45 is a critical effector of Myc-dependent DNA replication stress	Srinivasan SV;Dominguez-Sola D;Wang LC;Hyrien O;Gautier J	2013	3		1629-39			jean-gautier	jean-gautier	Article	
The differences between ICL repair during and outside of S phase	Williams HL;Gottesman ME;Gautier J	2013	38		386-93			jean-gautier	jean-gautier	Article	
DNA double-strand break repair pathway choice and cancer	Aparicio T;Baer R;Gautier J	2014						jean-gautier	jean-gautier	Article	
MYC is a critical target of FBXW7	Sato M;Rodriguez-Barrueco R;Yu J;Do C;Silva JM;Gautier J	2015	6	5	3292-3305			jean-gautier	jean-gautier	Article	
BRCA1-CtIP interaction in the repair of DNA double-strand breaks	Aparicio T;Baer R;Gottesman M;Gautier J	2016						jean-gautier	jean-gautier	Article	
BRCA1-CtIP interaction in the repair of DNA double-strand breaks	Aparicio T;Gautier J	2016						jean-gautier	jean-gautier	Article	
Sensing and Processing of DNA interstrand crosslinks by the mismatch repair pathway	Kato N;Kawasoe Y;Williams H;Coates E;Roy U;Shi Y;Beese LS;Scharer OD;Yan H;Gottesman ME;Takahashi TS;Gautier J	2017						jean-gautier	jean-gautier	Article	
Nuclear ARP2/3 drives DNA break clustering for homology-directed repair	Schrank BR;Aparicio T;Li Y;Chang W;Chait BT;Gundersen GG;Gottesman ME;Gautier J	2018						jean-gautier	jean-gautier	Article	
Assembling nuclear domains: Lessons from DNA repair	Schrank B;Gautier J	2019	218	8	2444-2455			jean-gautier	jean-gautier	Article	
MEF2B Instructs Germinal Center Development and Acts as an Oncogene in B Cell Lymphomagenesis	Brescia P;Schneider C;Holmes AB;Shen Q;Hussein S;Pasqualucci L;Basso K;Dalla-Favera R	2019	34	3	453-465			katia-basso	antony-holmes;katia-basso	Article	
Singling out the out-of-tune in lymphoma	Basso K	2018						katia-basso	katia-basso	Article	
Clinical impact of miR-223 expression in pediatric T-cell lymphoblastic lymphoma	Pomari E;Lovisa F;Carraro E;Primerano S;D'Amore ESG;Bonvini P;Nigro LL;Vito R;Vinti L;Farruggia P;Pillon M;Basso G;Basso K;Mussolin L	2017						katia-basso	katia-basso	Article	
The CREBBP Acetyltransferase is a haploinsufficient tumor suppressor in B-cell lymphoma	Zhang J;Vlasevska S;Wells VA;Nataraj S;Holmes AB;Duval R;Meyer SN;Mo T;Basso K;Brindle PK;Hussein S;Dalla-Favera R;Pasqualucci L	2017						katia-basso	antony-holmes;katia-basso	Article	
NPM-ALK expression levels identify two distinct subtypes of paediatric anaplastic large cell lymphoma	Pomari E;Basso G;Bresolin S;Pillon M;Carraro E;d'Amore ES;Viola G;Frasson C;Basso K;Bonvini P;Mussolin L	2017						katia-basso	katia-basso	Article	
FBXO11 inactivation leads to abnormal germinal-center formation and lymphoproliferative disease	Schneider C;Kon N;Amadori L;Shen Q;Schwartz FH;Tischler B;Bossennec M;Dominguez-Sola D;Bhagat G;Gu W;Basso K;Dalla-Favera R	2016						katia-basso	katia-basso	Article	
The FOXO1 transcription factor instructs the germinal center dark zone program	Dominguez-Sola D;Kung J;Holmes AB;Wells VA;Mo T,;Dalla-Favera R;Pasqualucci L	2015						katia-basso	antony-holmes;katia-basso	Article	
Disruption of KMT2D perturbs germinal center B cell development and promotes lymphomagenesis	Zhang J;Dominguez-Sola D;Hussein S;Lee JE;Holmes AB;Bansal M;Vlasevska S;Mo T;Tang H;Basso K;Ge K;Dalla-Favera R;Pasqualucci L	2015						katia-basso	antony-holmes;katia-basso	Article	
microRNA 28 controls cell proliferation and is down-regulated in B-cell lymphomas	Schneider C;Setty M;Holmes AB;Maute RL;Leslie CS;Mussolin L;Rosolen A;Dalla-Favera R;Basso K	2014						katia-basso	antony-holmes;katia-basso	Article	
An aberrant microRNA signature in childhood T-cell lymphoblastic lymphoma affecting CDKN1B expression, NOTCH1 and growth factor signaling pathways	Mussolin L;Holmes AB;Romualdi C;Sales G;D'Amore ES;Ghisi M;Pillon M;Rosolen A;Basso K	2014						katia-basso	antony-holmes;katia-basso	Article	
MEF2B mutations lead to deregulated expression of the oncogene BCL6 in diffuse large B cell lymphoma	Ying CY;Dominguez-Sola D;Fabi M;Lorenz IC;Hussein S;Bansal M;Califano A;Pasqualucci L;Basso K;Dalla-Favera R	2013						katia-basso	katia-basso	Article	
t-RNA-derived microRNA modulates proliferation and DNA damage response and is down-regulated in B cell lymphoma	Maute RL;Schneider C;Sumazin P;Holmes AB;Califano A;Basso K;Dalla-Favera R	2013						katia-basso	antony-holmes;katia-basso	Article	
BCL6 positevely regulates AID and germinal center gene expression via repression of miR-155	Basso K;Schneider C;Shen Q;Holmes AB;Setty M;Leslie C;Dalla-Favera R	2012						katia-basso	antony-holmes;katia-basso	Article	
A microRNA signature specific for hairy cell leukemia and associated with modulation of the MAPK-JNK pathways	Kitagawa Y;Brahmachary M;Tiacci E;Dalla-Favera R;Falini B;Basso K	2012						katia-basso	katia-basso	Article	
T-cell lymphoblastic lymphoma shows differences and similarities with T-cell acute lymphoblastic leukemia by genomic and gene expression analyses	Basso K;Mussolin L;Lettieri A;Brahamachary M;Lim W-K;Califano A;Basso G;Biondi A;Cazzaniga G;Rosolen A	2011						katia-basso	katia-basso	Article	
Integrated biochemical and computational approach identifies BCL6 direct target genes controlling multiple pathways in normal germinal-center B cells	Basso K;Saito M;Sumazin P;Margolin AA;Wang K;Lim W-K;Kitagawa Y;Schneider C;Alvarez M;Califano A;Dalla-Favera R	2010						katia-basso	katia-basso	Article	
BCL6 suppression of BCL2 via Miz1 and its disruption in diffuse large B cell lymphoma	Saito M;Novak U;Piovan E;Basso K;Sumazin P;Schneider C;Crespo M;Shen Q;Bhagat G;Califano A;Chadburn A;Pasqualucci L;Dalla-Favera R	2009						katia-basso	katia-basso	Article	
Identification of the human mature B cell miRNome	Basso K;Sumazin P;Morozov P;Schneider C;Maute RL;Kitagawa Y;Mandelbaum J;Haddad J;Chen CZ;Califano A;Dalla-Favera R	2009						katia-basso	katia-basso	Article	
A signaling pathway mediating downregulation of BCL6 in germinal center B cells is blocked by BCL6 gene alterations in B cell lymphoma	Saito M;Gao J;Basso K;Kitagawa Y;Smith PM;Bhagat G;Pasqualucci L;Dalla-Favera R	2007						katia-basso	katia-basso	Article	
BCL6 interacts with the transcription factor Miz-1 to suppress the cyclin-dependent kinase inhibitor p21 and cell cycle arrest in germinal center B cells	Phan RT;Saito M;Basso K;Niu H;Dalla-Favera R	2005						katia-basso	katia-basso	Article	
Reverse engineering of regulatory networks in human B cells	Basso K;Margolin AA;Stolovitzky G;Klein U;Dalla-Favera R;Califano A	2005	37	4	382-90			katia-basso	katia-basso	Article	
and Dalla-Favera R	Basso K;Klein U;Niu H;Stolovitzky G;Tu Y;Califano A;Cattoretti G	2004						katia-basso	katia-basso	Article	
Gene expression profiling of hairy cell leukemia reveals a phenotype related to memory B cells with altered expression of chemokine and adhesion receptors	Basso K;Liso A;Tiacci E;Benedetti R;Pulsoni A;Foa R;Di Raimondo;Ambrosetti A;Califano A;Klein U;Dalla-Favera R;Falini B	2004						katia-basso	katia-basso	Article	
Mutations of the BCL6 proto-oncogene disrupt its negative autoregulation in diffuse large B-cell lymphoma	Pasqualucci L;Migliazza A;Basso K;Houldsworth J;Chaganti RS;Dalla-Favera R	2003						katia-basso	katia-basso	Article	
Germinal centers and B cell lymphomagenesis	Basso K;Dalla-Favera R	2015						katia-basso	katia-basso	Article	
RNA with multiple personalities	Maute RL;Dalla-Favera R;Basso K	2014	5	1	1-13			katia-basso	katia-basso	Article	
Role of BCL6 in normal and transformed germinal center B cells	Basso K;Dalla-Favera R	2012						katia-basso	katia-basso	Article	
BCL6 master regulator of the germinal center reaction and key oncogene in B cell lymphomagenesis	Basso K;Dalla-Favera R	2010						katia-basso	katia-basso	Article	
Toward a systems biology approach to investigate cellular networks in normal and malignant B cells	Basso K	2009						katia-basso	katia-basso	Article	
Cytogenetic analysis of 130 renal oncocytomas identify three distinct and mutually exclusive diagnostic classes of chromosome aberrations	Anderson CB;Lipsky M;Nandula SV;Freeman CE;Matthews T;Walsh CE;Li G;Szabolcs M;Mansukhani MM;McKiernan JM;Murty VV	2019						murty-vundavalli	murty-vundavalli	Article	
Cytogenetic analysis of adult T-Cell leukemia/lymphoma	Sun Y;Murty VV;Leeman-Neill R;Soderquist C;Park D;Neill DB;Bhagat G;Alobeid B	2018						murty-vundavalli	murty-vundavalli	Article	
Role of Fluorescent In Situ Hybridization, Cholangioscopic Biopsies, and EUS-FNA in the Evaluation of Biliary Strictures	Brooks C;Gausman V;Kokoy-Mondragon C;Munot K;Amin SP;Desai A;Kipp C;Poneros J;Sethi A;Gress FG;Kahaleh M;Murty VV;Sharaiha R;Gonda TA	2018						murty-vundavalli	murty-vundavalli	Article	
PTEN Regulates Glutamine Flux to Pyrimidine Synthesis and Sensitivity to Dihydroorotate Dehydrogenase Inhibition	Mathur D;Stratikopoulos E;Ozturk S;Steinbach N;Pegno S;Schoenfeld S;Yong R;Murty VV;Asara JM;Cantley LC;Parsons R	2017						murty-vundavalli	murty-vundavalli	Article	
Genetic landscape of T- and NK-cell post-transplant lymphoproliferative disorders	Margolskee E;Jobanputra V;Jain P;Chen J;Ganapathi K;Nahum O;Levy B;Morscio J;Murty V;Tousseyn T;Alobeid B;Mansukhani M;Bhagat G	2016						murty-vundavalli	murty-vundavalli	Article	
Genetic landscape of T- and NK-cell post-transplant lymphoproliferative disorders	Margolskee E;Jobanputra V;Jain P;Chen J;Ganapathi K;Nahum O;Levy B;Morscio J;Murty V;Tousseyn T;Alobeid B;Mansukhani M;Bhagat G	2016						murty-vundavalli	murty-vundavalli	Article	
The genetic landscape of dural marginal zone lymphomas	Ganapathi KA;Jobanputra V;Iwamoto F;Jain P;Chen J;Cascione L;Nahum O;Levy B;Xie Y;Khattar P;Hoehn D;Bertoni F;Murty VV;Pittaluga S;Jaffe ES;Alobeid B;Mansukhani MM;Bhagat G	2016						murty-vundavalli	murty-vundavalli	Article	
Characterization of a novel fusion gene EML4-NTRK3 in a case of recurrent congenital fibrosarcoma	Tannenbaum-Dvir S;Glade Bender;Church AJ;Janeway KA;Harris MH;Mansukhani MM;Nagy PL;Andrews SJ;Murty VV;Kadenhe-Chiweshe A;Connolly EP;Kung AL;Dela Cruz	2015						murty-vundavalli	murty-vundavalli	Article	
Epigenetic inactivation of TRAIL decoy receptors at 8p12-21.3 commonly deleted region confers sensitivity to Apo2L/trail-Cisplatin combination therapy in cervical cancer	Narayan G;Xie D;Ishdorj G;Scotto L;Mansukhani M;Pothuri B;Wright JD;Kaufmann AM;Schneider A;Arias-Pulido H;Murty VV	2015						murty-vundavalli	murty-vundavalli	Article	
PCDH10, a novel p53 transcriptional target in regulating cell migration	Shi D;Murty VV;Gu W	2015						murty-vundavalli	murty-vundavalli	Article	
Alobeid B, Bhagat G	Gindin T;Murty V,	2015						murty-vundavalli	murty-vundavalli	Article	
Bachoo R, Burma S	Camacho CV;Todorova PK;Hardebeck MC;Tomimatsu N;Gil Del;Ilcheva M;Mukherjee B;McEllin B;Vemireddy V;Hatanpaa K;Story MD;Habib AA;Murty VV,	2015						murty-vundavalli	murty-vundavalli	Article	
PCDH10 promoter hypermethylation is frequent in most histologic subtypes of mature lymphoid malignancies and occurs early in lymphomagenesis	Narayan G;Xie D;Freddy AJ;Ishdorj G;Do C;Satwani P;Liyanage H;Clark L;Kisselev S;Nandula SV;Scotto L;Alobeid B;Savage D;Tycko B;O'Connor OA;Bhagat G;Murty VV	2013						murty-vundavalli	murty-vundavalli	Article	
Leukaemogenesis induced by an activating β-catenin mutation in osteoblasts	Kode A;Manavalan JS;Mosialou I;Bhagat G;Rathinam CV;Luo N;Khiabanian H;Lee A;Murty VV;Friedman R;Brum A;Park D;Galili N;Mukherjee S;Teruya-Feldstein J;Raza A;Rabadan R;Berman E;Kousteni S	2014						murty-vundavalli	murty-vundavalli	Article	
Genetics of follicular lymphoma transformation	Pasqualucci L;Khiabanian H;Fangazio M;Vasishtha M;Messina M;Holmes AB;Ouillette P;Trifonov V;Rossi D;Tabbò F;Ponzoni M;Chadburn A;Murty VV;Bhagat G;Gaidano G;Inghirami G;Malek SN;Rabadan R;Dalla-Favera R	2014						murty-vundavalli	antony-holmes;murty-vundavalli	Article	
PCDH10 promoter hypermethylation is frequent in most histologic subtypes of mature lymphoid malignancies and occurs early in lymphomagenesis	Narayan G;Xie D;Freddy AJ;Ishdorj G;Do C;Satwani P;Liyanage H;Clark L;Kisselev S;Nandula SV;Scotto L;Alobeid B;Savage D;Tycko B;O'Connor OA;Bhagat G;Murty VV	2013						murty-vundavalli	murty-vundavalli	Article	
"Lymphoid follicle colonization by Bcl-2(bright+)CD10(+) B-cells (""follicular lymphoma in situ"") at nodal and extranodal sites can be a manifestation of follicular homing of lymphoma"	Lee JC;Hoehn D;Schecter J;Murty VV;Mansukhani MM;Alobeid B;Bhagat G	2013						murty-vundavalli	murty-vundavalli	Article	
Creation and characterization of BAC-transgenic mice with physiological overexpression of epitope-tagged RCAN1 (DSCR1)	Xing L;Salas M;Zhang H;Gittler J;Ludwig T;Lin CS;Murty VV;Silverman W;Arancio O;Tycko B	2013						murty-vundavalli	murty-vundavalli	Article	
Promoter Methylation-Mediated Inactivation of PCDH10 in Acute Lymphoblastic Leukemia Contributes to Chemotherapy Resistance	Narayan G;Freddy AJ;Xie D;Liyanage H;Clark L;Kisselev S;Kang JU;Nandula SV;McGuinn C;Subramaniyam S;Alobeid B;Satwani P;Savage D;Bhagat G;Murty VV	2011						murty-vundavalli	murty-vundavalli	Article	
Integrative genomic approaches in cervical cancer	Narayan G;Murty VV	2010						murty-vundavalli	murty-vundavalli	Article	
Protocadherin PCDH10, involved in tumor progression, is a frequent and early target of promoter hypermethylation in cervical cancer	Narayan G;Scotto L;Neelakantan V;Kottoor SH;Wong AH;Loke SL;Mansukhani M;Pothuri B;Wright JD;Kaufmann AM;Schneider A;Arias-Pulido H;Tao Q;Murty VV	2009						murty-vundavalli	murty-vundavalli	Article	
Integrative genomics analysis of chromosome 5p gain in cervical cancer reveals target over-expressed genes, including Drosha	Scotto L;Narayan G;Nandula SV;Subramaniyam S;Kaufmann AM;Wright JD;Pothuri B;Mansukhani M;Schneider A;Arias-Pulido A;Murty VV	2008						murty-vundavalli	murty-vundavalli	Article	
Identification of Copy Number Gain and Overexpressed Genes on Chromosome Arm 20q by an Integrative Genomic Approach in Cervical Cancer	Scotto L;Narayan G;Nandula SV;Arias-Pulido H;Subramaniyam S;Schneider A;Kaufmann AM;Wright JD;Pothuri B;Mansukhani M;Murty VV	2008						murty-vundavalli	murty-vundavalli	Article	
Woodson K, Adams L, Gonzalez N, Martinez A, Narayan G, Kirsch I, Franklin W, Hirsch F, Birrer M, Cuttitta F	Zudaire E;Cuesta N;Murty V,	2008						murty-vundavalli	murty-vundavalli	Article	
